,id,user_location,date,text,hashtags,source,retweets,favorites,is_retweet
25533,1369820624441405442,,2021-03-11 01:21:01,#Moderna Anybody out there had a problem w tachycardia still going on a week after their 2d shot? My 30 year old so… https://t.co/WCXGEDFk3a,['Moderna'],Twitter Web App,0,0,False
159745,1423509198709563396,"Bengaluru, India",2021-08-06 05:00:15,"45+ #URBAN #Bengaluru #CovidVaccine Availability for 06/08 at 10:30AM
FREE Slots 0
PAID Slots 
#COVISHIELD - Dose1:… https://t.co/1imIuTlrYL","['URBAN', 'Bengaluru', 'CovidVaccine', 'COVISHIELD']",VaxBlr,0,0,False
197307,1443181212588134404,,2021-09-29 11:49:48,"With the govt providing free #COVID vaccines in the country, at least three prominent private hospitals have cancel… https://t.co/JlSgSGb4Nm",['COVID'],TweetDeck,1,3,False
119221,1410386646068084741,Toronto,2021-06-30 23:55:54,"Just a heads up I received my last vax last night...#Moderna 
and today am sick af. It's 85 degrees here and I'm sh… https://t.co/FbRL6sTEYD",['Moderna'],Twitter Web App,0,0,False
174678,1429658989860589570,"Sivaganga, India",2021-08-23 04:17:19,"E_UPDATES
23-08-2021
#Healthify
#PharmaTest
#CovidVaccine 
#Pfizer 
#Moderna 
#startups
#Entrepreneurship 
#India… https://t.co/ibiquxqPkm","['Healthify', 'PharmaTest', 'CovidVaccine', 'Pfizer', 'Moderna', 'startups', 'Entrepreneurship', 'India']",Twitter for Android,0,4,False
179872,1432408000833130498,"Milano, Lombardia",2021-08-30 18:20:54,"“Insanity is doing the same thing over and over again and expecting different results”

#GreenpassObbligatorio… https://t.co/IrqOxDoQSk",['GreenpassObbligatorio'],Twitter for iPhone,0,0,False
64672,1383153345020399619,"Lufkin, TX",2021-04-16 20:20:29,"The Deep East Texas Partnership has free #Moderna​ COVID-19 vaccination appointments available, Saturday morning, A… https://t.co/XzJ8YoCmnS",['Moderna'],Twitter Web App,0,0,False
222615,1459478172265639936,,2021-11-13 11:08:06,The fear on #Moderna vaccine seems overblown. Moderna may cause hearth inflammation in recipient under the age of 3… https://t.co/JYDdVODoIr,['Moderna'],Twitter for Android,0,0,False
9410,1361683531924176899,Pakistan,2021-02-16 14:27:07,"Hungary became the first EU country to receive China’s Sinopharm vaccine
https://t.co/HX8f2c1udh
#COVID19 #Hungary… https://t.co/dlIEdFMmDS","['COVID19', 'Hungary']",Twitter Web App,0,0,False
151051,1420708203327852549,"Armenia, Yerevan",2021-07-29 11:30:05,Arminfo: Armenia to allocate 3 billion 459 million drams to purchase #Pfizer  /  #Biontech  and #Sinopharm  vaccine… https://t.co/99PDa9J1gh,"['Pfizer', 'Biontech', 'Sinopharm']",Twitter Web App,0,0,False
194694,1443543241849069568,,2021-09-30 11:48:23,Provide more information regarding Covaxin say WHO to bharat biotech company https://t.co/5bl7wgBa8m #EUA #WHO… https://t.co/W7RYUPuL9j,"['EUA', 'WHO']",Twitter for Android,1,2,False
45000,1379168934243528712,"Austin, TX",2021-04-05 20:27:52,Big shout-out to The #VA /@DeptVetAffairs for always being on top of my health care. THEY called ME to schedule my… https://t.co/YcEGtxk1uO,['VA'],Twitter for iPhone,0,3,False
116519,1409822287281278982,,2021-06-29 10:33:21,"560078, 
AGE 18+
24-D1, 32-D2 slots,
#COVAXIN on 29-06-2021
@ ASTER CLINIC - COVAXIN(1410Rs) #BBMP","['COVAXIN', 'BBMP']",cowin_vaccine_app,0,0,False
32105,1372633161864208385,USA,2021-03-18 19:37:02,But but but...WHY HASN’T HE HELD A PRESS CONFERENCE?! Hey #Cult45 #Covidiots - your guy got abt 2M shots in arms be… https://t.co/d0npGxCpBc,"['Cult45', 'Covidiots']",Twitter for iPhone,0,0,False
22184,1370076989122576387,,2021-03-11 18:19:43,Scary stuff. Don't protect #Moderna https://t.co/1HvN01cR0w,['Moderna'],Twitter Web App,0,0,False
133315,1414509010305257475,India,2021-07-12 08:56:43,"Citizens testing positive for Covid-19 despite #Sinovac jab raises concern

In #Thailand, nearly 600 #healthcare wo… https://t.co/RhO7GuIWcJ","['Sinovac', 'Thailand', 'healthcare']",Zoho Social,0,0,False
49049,1380221701401743361,,2021-04-08 18:11:11,"UPDATE: Alanna Tonge-Jelley will most likely suffer the effects of this #vaccination FOREVER!

#Covid19 #Vaccine… https://t.co/5XOnRoDfRH","['vaccination', 'Covid19', 'Vaccine']",Twitter Web App,1,0,False
37611,1374571355677454337,"Colombo, Sri Lanka",2021-03-24 03:58:44,The Cabinet of Ministers has approved the purchase of seven million Sputnik-V vaccines at a cost of USD 69.65 milli… https://t.co/hnoL6uQQN0,,Twitter Web App,1,1,False
84485,1397162579378667523,"Tucson, AZ",2021-05-25 12:08:11,JUST IN: #Moderna says its COVID-19 vaccine is safe and appears to be effective at preventing Covid-19 in kids 12-17.,['Moderna'],TweetDeck,2,2,False
138069,1414912985051504644,"Bengaluru, India",2021-07-13 11:41:58,"Pincode: 560085
SPUTNIK V - Dose 1: 100 slots

Age: 18 and above 
Date: 15 Jul 2021
Fees: ₹1145
RAKSHOBHYA-SPUTNIK,… https://t.co/lMTFMJQ8Py",,CowinAlertsBot,0,0,False
182569,1435245472277540866,नरक,2021-09-07 14:16:00,"Disease was a 3 day flu. Shot was 2 weeks of a semi-paralyzed arm, muscle damage and nerve numbness. Never again. #Sinovac #AstraZeneca","['Sinovac', 'AstraZeneca']",Twitter Web App,0,0,False
160914,1425003428342763525,Pakistan,2021-08-10 07:57:47,If #Moderna #Pfizer #AstraZeneca advocate for another booster dose of vaccine to protect against #DeltaVariant- the… https://t.co/gEheyGhSd1,"['Moderna', 'Pfizer', 'AstraZeneca', 'DeltaVariant']",Twitter for iPhone,0,0,False
220115,1458361931597758464,Global,2021-11-10 09:12:34,"Freedom isn't a reward for good behavior. 

That`s how prison works.

#lockdown #Moderna #Pfizergate #boosterprik… https://t.co/SKSh2qmlY0","['lockdown', 'Moderna', 'Pfizergate', 'boosterprik']",Twitter Web App,5,18,False
130320,1416074548261183488,,2021-07-16 16:37:36,"[22:07:36] 411021, 18-07-2021, 94 dose2 at PMC P Emf Clinic, #COVAXIN S.N. A1 Bavdhan #PuneCOVAXIN","['COVAXIN', 'PuneCOVAXIN']",Cowin Vaccination Availability,0,0,False
77368,1393218585720352771,"Yavatmal, India",2021-05-14 14:56:10,"Why GST on Vaccines in such situations.. 🤔🤦‍♂️
It's not about Rs. 47.4 but about humanity.. 
#SputnikV https://t.co/nyVrEhHRn0",['SputnikV'],Twitter for Android,1,9,False
64890,1382758159077490690,"London, UK",2021-04-15 18:10:10,"I cannot tell you how *incredibly* happy and bloody *relieved* I am to get my first shot 😁 ThankYou ❤and WOOOT
!!… https://t.co/l44qBI5nSY",,Twitter for Android,1,67,False
5353,1358271770613194753,"Beijing, China",2021-02-07 04:30:00,#Sinovac Biotech received conditional commercial approval from #China's National Medical Products Administration fo… https://t.co/Kal8h3AEiw,"['Sinovac', 'China']",Twitter Web App,1,2,False
132308,1413690825943388161,India,2021-07-10 02:45:32,"#Gurugram health department to start administering the #Russian-made vaccine against #Covid19, #SputnikV, from Satu… https://t.co/4nyOciRFMo","['Gurugram', 'Russian', 'Covid19', 'SputnikV']",Twitter Web App,3,2,False
77547,1393158068918112256,,2021-05-14 10:55:41,Only Pfizer works #SputnikV #Pfizer,"['SputnikV', 'Pfizer']",Twitter for Android,0,0,False
197452,1442514665645359110,"Bengaluru, India",2021-09-27 15:41:11,"Pincode: 560061
SPUTNIK V - Dose 2: 20 slots

Age: 18 and above  (All Ages)
Date: 28 Sep 2021
Fees: ₹1145
MIRACLE H… https://t.co/SnNIOmQWrk",,CowinAlertsBot,0,0,False
170588,1428966165800374277,,2021-08-21 06:24:17,@imshinbei #Sinovac slogan has a problem here. in fact hong kong people don't want to get close with China,['Sinovac'],Twitter for Android,0,0,False
39061,1375673439579672576,Silent Hill,2021-03-27 04:58:01,"Friendly reminder:
You have to wait two consecutive weeks after your second shot for it to have full effect. Please… https://t.co/a8gznX591i",,Twitter for Android,0,0,False
7243,1359616259499954176,"Virgin Islands, USA",2021-02-10 21:32:31,@CDCgov @CDCMMWR #ocgn #COVAXIN #BharatBiotech Covaxin for humanity now!!! World is surging!!!,"['ocgn', 'COVAXIN', 'BharatBiotech']",Twitter for iPhone,1,1,False
222158,1458991799075229720,,2021-11-12 02:55:26,"Check this post from @abplive on Koo App: 

""#BharatBiotech's #Covaxin Safe, Phase 3 Trial Data Shows 77....""… https://t.co/VDDC5xNYrG","['BharatBiotech', 'Covaxin']",Twitter for Android,0,0,False
26698,1370220561536745474,"Dubai Marina, Dubai",2021-03-12 03:50:13,EU's Medicines Regulator indicated that the Oxford-#AstraZeneca COVID-19 vaccine is not linked to increased risk of… https://t.co/BwqasX2BW7,['AstraZeneca'],Twitter Web App,0,0,False
149464,1421150936328642566,India,2021-07-30 16:49:21,@im_vandy Me too Fully Vaccinated on 26 July #covaxin 😁,['covaxin'],Twitter for Android,0,1,False
188881,1439571171326971906,"Western Australia, Australia",2021-09-19 12:44:47,@100Dianne @sidherian @Azul25000072 @polioandme @Bertrandization @takesthecake2 @AndrewHewat @katethekhemist… https://t.co/CSk4jhUqqC,,Twitter for Android,0,0,False
182328,1435174597972795398,Bangladesh,2021-09-07 09:34:23,"To produce #COVID19Vaccine in the country, the #Bangladesh govt has struck a trilateral agreement for bottling, lab… https://t.co/OlJEW9n19z","['COVID19Vaccine', 'Bangladesh']",Twitter for iPhone,1,15,False
201615,1447704792994877443,Federal Republic of Cameroon,2021-10-11 23:24:54,Vaccine manufacturer #Moderna says it will not share it's formula to countries that are desperately in need of the… https://t.co/1sI2DufC1p,['Moderna'],Twitter for Android,1,0,False
84137,1397281371995971586,"Florida, USA",2021-05-25 20:00:13,"@cnnbrk “We are encouraged that mRNA-1273 was highly effective at preventing COVID-19 in adolescents,” said… https://t.co/vMZKLbne2Z",,Twitter for iPhone,0,0,False
30445,1372087994920935424,,2021-03-17 07:30:44,"I will never know if I got side effects from the #OxfordAstraZeneca #AstraZeneca #CovidVaccine (malaise, aches, tir… https://t.co/uMKE4yaDQY","['OxfordAstraZeneca', 'AstraZeneca', 'CovidVaccine']",Twitter for Android,0,0,False
225377,1463142156063764481,,2021-11-23 13:47:28,@sanatanadharma1 That's great news ! I knew #COVAXIN is the BEST !,['COVAXIN'],Twitter for Android,9,25,False
71956,1394304495299923968,"New Delhi, India",2021-05-17 14:51:11,"Mask down diktat from #CDC has some rationale, both #moderna and #Pfizer provide over 90 percent protection as oppo… https://t.co/SHwm8nx1kK","['CDC', 'moderna', 'Pfizer']",Twitter for iPhone,15,43,False
212170,1449709534600056832,"Bengaluru, India",2021-10-17 12:11:02,"Pincode: 560098
COVAXIN - Dose 1: 30 slots

Age: 18 and above  (All Ages)
Date: 18 Oct 2021
Fees: ₹1200
MIRACLE HEL… https://t.co/rXijEhCRrf",,CowinAlertsBot,0,0,False
33130,1373019953847222276,3rd Rock from the Sun,2021-03-19 21:14:01,Dose #1 in the books! Started tearing up when I finally got to the shot station. #1down1togo #COVID19Vaccine… https://t.co/dprR2OmrkR,"['1down1togo', 'COVID19Vaccine']",Twitter for iPhone,0,3,False
65687,1384904866573783045,"Bengaluru, India",2021-04-21 16:20:25,"India:
0.04% of those vaccinated with #Covaxin tested +ve after each of just the 1st dose as well as both doses… https://t.co/Qe15AQ3XCE",['Covaxin'],Twitter for Android,11,30,False
101320,1404402437935579137,I'm in Yorkshire,2021-06-14 11:36:48,@Abbiedew Your the only other  Moderna person I know of who’s had it. #GetVaccinated #vaccination #Moderna,"['GetVaccinated', 'vaccination', 'Moderna']",Twitter for iPhone,0,1,False
178574,1434222621269364741,,2021-09-04 18:31:34,"@zerohedge To #pfizer Israel is already at 4 ….so no boosters needed for #AstraZeneca , #moderna and Janssen ??? No… https://t.co/WMdwhxBrvM","['pfizer', 'AstraZeneca', 'moderna']",Twitter for iPhone,0,2,False
32680,1372417027248250882,"Bokaro Steel City, India",2021-03-18 05:18:12,@washingtonpost Can #Modi's #BharatBiotech give Numbers in front of World that #Covaxin is efficient &amp;effective to… https://t.co/Fnow9yR1Ys,"['Modi', 'BharatBiotech', 'Covaxin']",Twitter for Android,0,1,False
144191,1417733655632310272,"Bengaluru, India",2021-07-21 06:30:18,"18-44 #URBAN #Bengaluru #CovidVaccine Availability for 21/07 at 12:00PM
FREE Slots 
#COVISHIELD - Dose1:0, Dose2:1… https://t.co/xk2xGoedrv","['URBAN', 'Bengaluru', 'CovidVaccine', 'COVISHIELD']",VaxBlr,0,0,False
21105,1367431907760168961,,2021-03-04 11:09:07,"During the arrival of the initial 600,000 doses of China-donated #Sinovac’s CoronaVac vaccine on Sunday, President… https://t.co/IpRcfgvlRb",['Sinovac'],Twitter for iPhone,2,2,False
106229,1407754268275208193,,2021-06-23 17:35:47,@manoramanews Because most of them are only taking #COVISHIELD because #Covaxin is not approved by #WHO. Those who… https://t.co/8MtbW4oc1X,"['COVISHIELD', 'Covaxin', 'WHO']",Twitter for iPhone,0,0,False
199281,1446123530295201793,,2021-10-07 14:41:31,mRNA is no good bad story after bad story we gotta go with something non-mRNA like #COVAXIN check this out meet… https://t.co/nrIXd9WGrs,['COVAXIN'],Twitter for iPhone,1,6,False
115760,1410063504598396929,India,2021-06-30 02:31:51,Brazil Health Ministry has said there are no irregularities in preliminary analysis and suspension is a temporary m… https://t.co/ETFpbVeVx2,,Twitter Web App,6,32,False
117373,1409610144250351618,,2021-06-28 20:30:22,"560018, 
AGE 45+
25-D1, 25-D2 slots,
#COVAXIN on 29-06-2021
@ Anjanappa Garden UPHC(Free) #BBMP","['COVAXIN', 'BBMP']",cowin_vaccine_app,0,0,False
221503,1458305984141479940,"Bengaluru, India",2021-11-10 05:30:15,"18-44 #URBAN #Bengaluru #CovidVaccine Availability for 10/11 at 11:00AM
FREE Slots 0
PAID Slots 
#COVISHIELD - Dose… https://t.co/AYjhVqgpZG","['URBAN', 'Bengaluru', 'CovidVaccine', 'COVISHIELD']",VaxBlr,0,0,False
119998,1409872497235931144,佐賀,2021-06-29 13:52:52,"I'm worried about getting a COVID-19 vaccine.
In Japan,it's not long period of time since starting to get vaccine s… https://t.co/2d2oKe7nS9",,Twitter for iPhone,1,2,False
152863,1421710450593607680,,2021-08-01 05:52:40,"#MustRead #coronavirus #vaccine #watch #video #dates.. add up..#Pzifer #Moderna #johnsonandjohnson #Merck 

Dr Davi… https://t.co/Xbnl74ckON","['MustRead', 'coronavirus', 'vaccine', 'watch', 'video', 'dates', 'Pzifer', 'Moderna', 'johnsonandjohnson', 'Merck']",Twitter for Android,5,6,False
220825,1458404171430825988,"Bengaluru, India",2021-11-10 12:00:24,"45+ #BBMP #Bengaluru #CovidVaccine Availability for 10/11 at 05:30PM
FREE Slots 0
PAID Slots 
#COVISHIELD - Dose1:6… https://t.co/w9UU6jE17d","['BBMP', 'Bengaluru', 'CovidVaccine', 'COVISHIELD']",VaxBlr,0,1,False
101137,1404629971155525634,,2021-06-15 02:40:56,Check out VACCINE SAFETY MANUAL FOR CONCERNED FAMILIES AND HEALTH By Neil Z. Miller *VG+* https://t.co/9W0xhw0CUC… https://t.co/xZFnhrWZqp,,Twitter for iPhone,0,0,False
114924,1407531889104101382,San Jose,2021-06-23 02:52:07,$OCGN works against #DeltaVariant which #Sinopharm doesnot this opens doors https://t.co/UHzCv3YUQf,"['DeltaVariant', 'Sinopharm']",Twitter Web App,1,2,False
118365,1409869929239699476,Indonesia,2021-06-29 13:42:39,"Jokowi has confirmed an expansion of the age range of people who can receive the Sinovac jab

#children #Sinovac… https://t.co/5n1bFm3pnB","['children', 'Sinovac']",Blog2Social APP,0,1,False
81305,1395997040576847875,"dhaka,bangladesh",2021-05-22 06:56:45,"Bangladesh, Nepal and Sri Lanka nearly out of Covid vaccines: officials https://t.co/VeKEN8UZfE via @FRANCE24… https://t.co/R4urIrynSG",,Twitter for Android,0,0,False
154232,1422343821975715840,"Los Angeles, CA",2021-08-02 23:49:27,@WesElyMD @washingtonpost This is Sad 💔💔💔 We need #VaccineEquity 📢📢📢 . Approve #COVAXIN and Let’s heal the world 🌈… https://t.co/XK6uig3q4z,"['VaccineEquity', 'COVAXIN']",Twitter for iPhone,0,5,False
56216,1380180206649020416,"Toronto, Canada  and Worldwide",2021-04-08 15:26:18,@CP24 EMBARRASSING Moscow Russia everything is open business as usual. Ontario Canada reporting 3295 cases of… https://t.co/5tOFGwdu9R,,Twitter for iPhone,1,2,False
113723,1408130484459098112,,2021-06-24 18:30:43,"[00:00:43] 122001, 29-06-2021, 156 dose2 at Cloudnine Sec -14, #COVAXIN Plot No 94 4 MG Road Sec 14 #GurgaonCOVAXIN","['COVAXIN', 'GurgaonCOVAXIN']",Cowin Vaccination Availability,0,0,False
140749,1416288844455071744,Worldwide,2021-07-17 06:49:08,"👇👇 Dr. Peter McCullough 👇👇

"" The vaccine programme had no system to catch the complications. But even worse yet, t… https://t.co/mNWMp4gQVQ",,Twitter Web App,26,31,False
65966,1384855458788302853,,2021-04-21 13:04:05,"Which hospitals in #tiruppur vaccinate #Covaxin ? Where can those details be get? Pls guide 

@TirupurTalks @TPRDtCollector @balajibhaskar2","['tiruppur', 'Covaxin']",Twitter for Android,0,2,False
211054,1450680706003206144,"Bengaluru, India",2021-10-20 04:30:07,"18-44 #RURAL #Bengaluru #CovidVaccine Availability for 20/10 at 10:00AM
FREE Slots 
#COVISHIELD - Dose1:68, Dose2:2… https://t.co/TwtAd4rfJa","['RURAL', 'Bengaluru', 'CovidVaccine', 'COVISHIELD']",VaxBlr,0,0,False
83584,1397947771202670600,,2021-05-27 16:08:15,"SM-102
SM-102
SM-102
SM-102
Yes, it is a #poison.
Yes, it is in the #Moderna #vaccine.
Yes, it will short your life… https://t.co/CoVVeIyipk","['poison', 'Moderna', 'vaccine']",Twitter Web App,1,1,False
69364,1382672533082755072,,2021-04-15 12:29:55,"After evaluation of contract between #Slovakia and #RDIF about #sputnikv deliveries, president Zuzana Caputova said… https://t.co/Iu5YKJzUO2","['Slovakia', 'RDIF', 'sputnikv']",Twitter Web App,0,0,False
130813,1415893159297511429,,2021-07-16 04:36:49,"[10:06:49] 411021, 17-07-2021, 150 dose1 at PMC P Emf Clinic, #COVAXIN S.N. A1 Bavdhan #PuneCOVAXIN","['COVAXIN', 'PuneCOVAXIN']",Cowin Vaccination Availability,0,0,False
96387,1402714266046713869,,2021-06-09 19:48:36,"@coxm1 @deirdrenugent4 I subscribed to @NetflixUK in my frontal lobe since I got #moderna they had a deal, half pri… https://t.co/qj5XDjFvvV",['moderna'],Twitter for Android,0,5,False
40762,1376226544943722496,"Los Angeles, CA",2021-03-28 17:35:52,Plenary of #Moderna and #Pfizer appointments available as well!,"['Moderna', 'Pfizer']",Twitter for iPhone,2,10,False
107137,1407581928023236611,,2021-06-23 06:10:57,"560047, 
AGE 45+
50-D1, 50-D2 slots,
#COVAXIN on 23-06-2021
@ AustinTown UPHC Covaxine(Free) #BBMP","['COVAXIN', 'BBMP']",cowin_vaccine_app,0,1,False
155561,1422535449784905735,Malaysia,2021-08-03 12:30:55,Kylo Ren fully vaccinated #Sinovac #antivax #KitaJagaKita now i can travel to the other universe thank you… https://t.co/FLVHVQXnZX,"['Sinovac', 'antivax', 'KitaJagaKita']",Twitter for iPhone,0,2,False
202519,1446202935256522761,,2021-10-07 19:57:03,"#Booster spoken on #cue | #Moderna | Posted Oct 5, 2021 by #GlobalNews https://t.co/k6eHH1SeMQ","['Booster', 'cue', 'Moderna', 'GlobalNews']",Twitter Web App,0,0,False
93075,1401811166645538818,,2021-06-07 08:00:01,"The screening of #children for trial of #Covaxin, #India's first indigenously developed #COVID19 #vaccine, among th… https://t.co/zND7gNGImE","['children', 'Covaxin', 'India', 'COVID19', 'vaccine']",Twitter Web App,0,0,False
138156,1414882473616445441,New Delhi,2021-07-13 09:40:43,The Russian Direct Investment Fund (RDIF) and Serum Institute of India (@SerumInstIndia) on Tuesday announced plans… https://t.co/B0M6jBSOnR,,Twitter Web App,2,5,False
165188,1425302580670783488,Chennai,2021-08-11 03:46:30,#DCGI gives nod for conducting a study on mixing #Covaxin &amp; #Covishield.,"['DCGI', 'Covaxin', 'Covishield']",Twitter for Android,0,0,False
31027,1371831117557420036,"Toronto, Canada  and Worldwide",2021-03-16 14:30:00,"France, Germany, Ireland, Italy, Denmark, Netherlands, Estonia, Lithuania, Luxembourg, Latvia, Syria suspend… https://t.co/wtpsmbWYqx",,Twitter Web App,2,0,False
51567,1382426174958268418,,2021-04-14 20:10:59,"The answer takes some understanding of outcome measures used in clinical research

Let’s take a look at the data fr… https://t.co/o65KahEoZR",,Twitter Web App,0,1,False
154127,1422445234055753732,Bharat,2021-08-03 06:32:26,"This @SreenivasanJain is an openly biased journalist. 
@MIB_India @ianuragthakur strict action needed against this… https://t.co/oUt8GH1qIm",,Twitter Web App,0,0,False
167417,1427223987109601281,"Chiang Mai, Thailand",2021-08-16 11:01:29,"#Covid19 vaccine stages at
CMU Convention Center WALK-IN clinic in Chiang Mai.  All ages and Nationalities without… https://t.co/N7M3FbvfnH",['Covid19'],Twitter for Android,0,0,False
140499,1416716759617392645,"Islamabad, PK",2021-07-18 11:09:31,Got my 1st dose of #Moderna at ISB F-9 center. The lady administering it asked me multiple times if I was Muslim. I… https://t.co/QJqJO98N7w,['Moderna'],Twitter Web App,0,0,False
171213,1428975273488248834,"Bengaluru, India",2021-08-21 07:00:28,"45+ #BBMP #Bengaluru #CovidVaccine Availability for 21/08 at 12:30PM
FREE Slots 
#COVISHIELD - Dose1:7, Dose2:2
PAI… https://t.co/YxtaAS4NCW","['BBMP', 'Bengaluru', 'CovidVaccine', 'COVISHIELD']",VaxBlr,0,1,False
39035,1375776606497730560,"London, England",2021-03-27 11:47:58,"Has the extraordinary altruism of #AstraZeneca made #BigPharma smear them?   #Pfizer #Moderna 

https://t.co/mlVUjPGqRx","['AstraZeneca', 'BigPharma', 'Pfizer', 'Moderna']",Twitter Web App,1,2,False
203412,1448151514346713091,"New Delhi, India",2021-10-13 05:00:01,Shared my views on the Subject Expert Committee’s nod to #Covaxin for 2-18 yr olds. Detailing the prioritisation &amp;… https://t.co/bjeXWfMR0s,['Covaxin'],Twitter Web App,1,5,False
205289,1447642882739945475,,2021-10-11 19:18:53,"$OCGN government if 🇮🇳 takes huge steps before ⁦@WHO⁩ approval for #Covaxin. After agreement with Hungary 🇭🇺,now Se… https://t.co/3x6frO4T80",['Covaxin'],Twitter for iPhone,1,8,False
52203,1382120227660558336,"Winchester Bay, OR",2021-04-13 23:55:15,Look out world! I just got my 2nd #vaccine so in a minimum of 2 weeks I can #hug again!!! Be prepared y'all!… https://t.co/tLOFxR5Y4w,"['vaccine', 'hug']",Instagram,0,0,False
20699,1367103832245723140,New Delhi,2021-03-03 13:25:27,A great win for Atmanirbhar Bharat! India’s indigenously developed #COVAXIN shows 81% interim efficacy in Phase 3 t… https://t.co/NWHkucwjwv,['COVAXIN'],Twitter Web App,766,2751,False
167277,1427861723248095233,"Remedious T. Romualdez,  Agusa",2021-08-18 05:15:37,"1st dose done
#Sinovac 
#resbakuna https://t.co/nHvsWZoyS3","['Sinovac', 'resbakuna']",Twitter for Android,0,1,False
112883,1408357171587211265,,2021-06-25 09:31:30,"560011, 
AGE 18+
151-D1, 224-D2 slots,
#COVAXIN on 26-06-2021
@ APOLLO JAYANAGAR-COVAXIN(1410Rs) #BBMP","['COVAXIN', 'BBMP']",cowin_vaccine_app,0,0,False
166256,1426209551053848583,United States,2021-08-13 15:50:29,An 89-year-old man died just days after receiving #Sinopharm vaccine. The vaccinated man was in good health and had… https://t.co/d6NHljVqBz,['Sinopharm'],Twitter for Android,0,0,False
110470,1407151859576434693,"Alberta, Canada",2021-06-22 01:42:01,"@CMOH_Alberta Or just come and get a vaccine (&amp; a free meal to go to). https://t.co/CmCg4ST0sv

#Calgary #CovidAb… https://t.co/ioYNQQ3kgu","['Calgary', 'CovidAb']",Twitter for iPad,0,4,False
87217,1397802263700115467,,2021-05-27 06:30:04,"[12:00:03] 122001, 240 dose1 slots on 28-05-2021 at Max Hospital, #COVAXIN Max Hospital Opp HUDA City Block Sushant… https://t.co/FI8da6S9HB",['COVAXIN'],Cowin Vaccination Availability,0,0,False
58695,1382006708751458305,,2021-04-13 16:24:10,I have received my first dose of the #PfizerBioNTech vaccine against #COVID19. Being 30 years old I can call myself… https://t.co/FJ3C4am2fy,"['PfizerBioNTech', 'COVID19']",Twitter for iPhone,0,1,False
62098,1384961559483625474,"Los Angeles, CA",2021-04-21 20:05:41,I got #vaccinated - 2nd dose  #COVID19Vaccine #Moderna,"['vaccinated', 'COVID19Vaccine', 'Moderna']",Twitter for Android,0,0,False
11455,1363094608348016640,Sydney,2021-02-20 11:54:14,@drcraigwax @gassin123Charts Maybe he knows of a hidden side effect or risk in the #PfizerVaccine that has been glo… https://t.co/tf7tErR5NU,['PfizerVaccine'],Twitter for iPhone,0,1,False
95242,1402673591934541831,Sri Lanka,2021-06-09 17:06:59,The National Transfusion Service in #SriLanka has updated the blood donor selection criteria for vaccinated individ… https://t.co/PtmF2fAJen,['SriLanka'],Twitter for Android,13,21,False
